id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm857492,I Will Make You Mine,MOVIE,Three women wrestle with life's difficulties while confronting their past relationships with the same man.,2020,R,80,"['drama', 'comedy']",['US'],,tt8820348,5.8,254.0,3.019,5.4
tm1281499,Cosmos,MOVIE,"Three astronomers accidentally intercept what they believe to be a signal from a distant alien civilization, but the truth is even more incredible than any of them could have imagined.",2019,,128,"['thriller', 'scifi']",['GB'],,tt4477292,6.0,5970.0,5.649,5.831
tm438528,To Tokyo,MOVIE,"Challenged by her step-sister to return home, a young woman hiding from her past in a remote Japanese village is abducted into a fantastic wilderness and pursued by a monster, with only four nights to escape to Tokyo and face her demons.",2019,,77,"['thriller', 'drama', 'horror', 'fantasy']",['GB'],,tt3115846,4.1,97.0,1.923,6.2
tm319702,The Field,MOVIE,"A long-empty farmstead holds secret worlds, accidentally unlocked by an amateur photographer and his wife.",2019,PG-13,92,"['thriller', 'fantasy', 'scifi']",['US'],,tt6827388,4.3,317.0,2.105,5.6
tm533002,Double Eagle Ranch,MOVIE,A couple's failing relationship implodes when their mountain cabin accidentally gets double booked.,2019,,107,['comedy'],['US'],,tt6163094,5.2,101.0,0.929,7.5
ts215985,Good Talk with Anthony Jeselnik,SHOW,"Comedian Anthony Jeselnik interviews fellow comedians about their careers, influences and other topical issues.",2019,TV-MA,21,['comedy'],['US'],1.0,tt10553806,7.4,294.0,2.096,7.0
tm453601,Daffodils,MOVIE,A bittersweet love story told through enchanting re-imaginings of popular and iconic New Zealand songs.,2019,,93,"['drama', 'romance']",['NZ'],,tt8069578,5.8,393.0,3.023,5.8
ts271247,LEGO City Adventures,SHOW,"Welcome to LEGO City, a modern metropolis filled with the fiercest firefighters, the cream of the crop cops, and so many Blockheads. Every citizen will assemble together for the most awesomely awesome adventures.",2019,TV-Y7,14,"['animation', 'action', 'family', 'comedy']",['US'],4.0,tt10332322,6.7,228.0,11.726,7.25
tm810032,A Guide to Second Date Sex,MOVIE,"Laura and Ryan are perfect for each other: they both love Meryl Streep, have been totally destroyed by previous relationships, and have no idea what they are supposed to do tonight. They also both know that they'll have to pretend to be completely different to how they've ever been previously, in the hope of getting it right this time. How bad can a second date really go and what is there to lose? Ryan and Laura are about to find out.",2019,,81,"['romance', 'comedy']",['GB'],,tt7439748,5.5,1166.0,4.595,5.1
tm827525,Come Away,MOVIE,"Before Alice went to Wonderland, and before Peter became Pan, they were brother and sister. When their eldest brother dies in a tragic accident, they each seek to save their parents from their downward spirals of despair until finally they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.",2020,PG,94,"['fantasy', 'drama']","['US', 'GB']",,tt5714470,5.7,5318.0,17.674,5.814
tm470902,Impossible Monsters,MOVIE,"A psychology professor begins a case study with three subjects who are suffering from sleep paralysis. As the study goes on, what is real and what is dream become mingled with violent consequences.",2019,,84,['thriller'],['US'],,tt4328094,4.4,5869.0,2.863,4.6
ts306086,All That,SHOW,"Pop-culture phenomenon All That is returning for a new generation of kids. The new weekly sketch-comedy series will showcase an all-new cast of kids, with original cast members making special appearances.",2019,TV-PG,22,"['comedy', 'family', 'music']",['US'],1.0,tt10309492,5.7,236.0,5.51,8.091
tm462732,Avenues,MOVIE,"On his 25th birthday, following the death of his brother, Max and his best friend Peter wander the wintry streets of Manhattan, contemplating life, livelihood, and what it means to be adult.",2019,,76,"['drama', 'comedy']",['US'],,tt4876096,5.8,177.0,3.794,7.3
ts89979,Finding Justice,SHOW,"A series that travels around the country to follow the heroes, leaders and activists who battle to bring change to the cities they call home.",2019,TV-14,41,['documentation'],[],1.0,tt8323190,7.1,152.0,0.639,
tm974552,Last Three Days,MOVIE,"After getting mixed up with a dangerous crime syndicate, an undercover cop wakes up to discover he is missing his partner, his wife, and three days of his life.",2020,,87,"['thriller', 'action', 'crime']",['US'],,tt6794504,3.6,573.0,6.92,6.7
tm826311,The Comedy Central Roast of Alec Baldwin,MOVIE,"Sean Hayes serves as roast master as it is Alec Baldwin's turn in the hot seat. Robert De Niro, Jeff Ross, and Caitlyn Jenner among others take jabs at the actor/comedian.",2019,,84,['comedy'],['US'],,tt10520800,7.0,1010.0,2.474,6.7
